t (s)	V (volts)
4.830E-03	-6.633E-01
4.835E-03	-6.456E-01
4.840E-03	-6.277E-01
4.845E-03	-6.096E-01
4.850E-03	-5.914E-01
4.855E-03	-5.731E-01
4.860E-03	-5.546E-01
4.865E-03	-5.360E-01
4.870E-03	-5.172E-01
4.875E-03	-4.983E-01
4.880E-03	-4.794E-01
4.885E-03	-4.603E-01
4.890E-03	-4.410E-01
4.895E-03	-4.217E-01
4.900E-03	-4.023E-01
4.905E-03	-3.828E-01
4.910E-03	-3.632E-01
4.915E-03	-3.435E-01
4.920E-03	-3.237E-01
4.925E-03	-3.039E-01
4.930E-03	-2.839E-01
4.935E-03	-2.639E-01
4.940E-03	-2.439E-01
4.945E-03	-2.238E-01
4.950E-03	-2.036E-01
4.955E-03	-1.834E-01
4.960E-03	-1.631E-01
4.965E-03	-1.428E-01
4.970E-03	-1.225E-01
4.975E-03	-1.021E-01
4.980E-03	-8.171E-02
4.985E-03	-6.130E-02
4.990E-03	-4.088E-02
4.995E-03	-2.044E-02
5.000E-03	-7.960E-16
